Unit Test cases,Team Member(s) Testing Code,Complete / Ongoing / Abandoned,Ticket_ids raised,Date of Ticket Generation,Date of Ticket Resolution,Description of test case,module tested,result(success/failure),description of result,Risk Management
should create a user with all required fields,Ridham Shah,Complete,TC-001,2026-03-05,2026-03-05,Verifies that a User document is created with firebaseUid email and name fields,User Model,Success,User created successfully with all required fields stored correctly,
should apply default role as student,Atharv Dhuvad,Complete,TC-002,2026-03-07,2026-03-07,Checks that the default role assigned to a new user is student,User Model,Success,Default role correctly set to student when no role is specified,
should reject an invalid role via enum validation,Shrey Shah,Complete,TC-003,2026-03-06,2026-03-06,Ensures ValidationError is thrown when an invalid role like superadmin is provided,User Model,Success,ValidationError thrown as expected for invalid role enum value,
should fail when firebaseUid is missing,Pranav Nair,Complete,TC-004,2026-03-09,2026-03-09,Validates that user creation fails without a firebaseUid field,User Model,Success,ValidationError correctly raised for missing required field,
should reject duplicate email,Ridham Shah,Complete,TC-005,2026-03-10,2026-03-12,Tests unique constraint enforcement on the email field,User Model,Failure,Intermittent failure - duplicate key error not consistently thrown due to index creation timing,"Mitigated by adding ensureIndexes() call in test setup to guarantee index build completion before running constraint tests; added retry logic for CI pipeline"
should update updatedAt on save,Shrey Shah,Complete,TC-006,2026-03-08,2026-03-08,Verifies the pre-save hook updates the updatedAt timestamp on modification,User Model,Success,updatedAt timestamp correctly updated after modifying and saving the document,
should create an exam with all required fields,Pranav Nair,Complete,TC-007,2026-03-05,2026-03-05,"Validates exam creation with title, teacherId, questions, scheduledAt, duration, and endTime",Exam Model,Success,Exam document created with all fields correctly stored and referenced,
should apply default settings,Atharv Dhuvad,Complete,TC-008,2026-03-11,2026-03-11,"Checks default exam settings like shuffleQuestions, requireWebcam are applied",Exam Model,Success,"All default settings applied correctly including shuffleQuestions=false, requireWebcam=true",
should validate question type enum,Ridham Shah,Complete,TC-009,2026-03-12,2026-03-12,Ensures invalid question types are rejected by schema validation,Exam Model,Success,ValidationError thrown for invalid_type question type,
should calculate total points from questions,Shrey Shah,Complete,TC-010,2026-03-13,2026-03-13,Tests the totalPoints virtual field calculation from question points,Exam Model,Success,Virtual totalPoints correctly sums individual question points (10+20+30=60),
should fail without title,Pranav Nair,Complete,TC-011,2026-03-07,2026-03-07,Validates that exam creation fails when title is not provided,Exam Model,Success,ValidationError raised for missing required title field,
should handle an exam with many questions,Atharv Dhuvad,Complete,TC-012,2026-03-14,2026-03-15,Tests exam creation and totalPoints calculation with 100 questions,Exam Model,Failure,Test timed out when creating exam with 100 MCQ questions due to validation overhead on each subdocument,"Increased Jest timeout to 30s for bulk operation tests; added batch validation optimization to reduce per-question schema validation overhead; documented as known slow test"
should create session with required fields,Shrey Shah,Complete,TC-013,2026-03-06,2026-03-06,"Verifies ProctoringSession creation with submissionId, studentId, and examId",Proctoring Model,Success,Session created with all required ObjectId references stored correctly,
should apply correct defaults,Ridham Shah,Complete,TC-014,2026-03-08,2026-03-08,"Checks default values for status, trustScore, faceDetectionEnabled, and summary fields",Proctoring Model,Success,"All defaults applied: status=active, trustScore=100, faceDetectionEnabled=true",
should reject invalid session status,Pranav Nair,Complete,TC-015,2026-03-10,2026-03-10,Ensures invalid session status values are rejected by schema validation,Proctoring Model,Success,ValidationError thrown for status=invalid as expected,
